Start date,End date,Open Price,Close Price,Low Price,High Price,Open Volume,Close Volume,Low Volume,High Volume
7-November-1997,20-November-1997,162.0,148.0,145.0,163.5,940244,799099,527453,998745
21-November-1997,4-December-1997,146.25,127.25,125.0,146.25,2443672,823083,465852,2443672
5-December-1997,18-December-1997,127.25,127.25,116.5,131.0,851453,1154497,649612,2127281
19-December-1997,2-January-1998,127.25,141.5,126.0,141.75,894810,2398181,498670,2398181
5-January-1998,16-January-1998,144.5,126.75,121.5,145.0,1387696,1200676,968168,2684310
19-January-1998,2-February-1998,127.0,126.75,121.05,133.0,1370108,738085,300,1631794
3-February-1998,10-February-1998,127.2,121.2,120.8,127.5,100,638251,100,764074
10-February-1998,19-February-1998,120.4,122.2,119.1,125.0,150,302538,150,807172
19-February-1998,2-March-1998,120.5,138.0,120.3,139.5,3200,1760340,3200,1760340
3-March-1998,11-March-1998,137.5,137.2,130.1,143.8,905340,1606478,3000,2622225
12-March-1998,20-March-1998,136.5,147.0,134.0,149.0,1088857,3500,3500,3635823
20-March-1998,30-March-1998,145.0,149.5,144.0,160.0,2773449,2053849,10100,2773449
31-March-1998,8-April-1998,149.1,163.6,148.4,168.5,1371276,1905604,1000,5198974
10-April-1998,23-April-1998,162.0,154.8,153.5,166.5,2345905,1388007,100,2345905
24-April-1998,12-May-1998,153.5,153.1,149.2,160.0,1659899,360537,13000,1659899
13-May-1998,26-May-1998,152.6,146.2,145.0,156.2,887874,2046736,513731,2046736
27-May-1998,9-June-1998,145.2,144.7,135.5,163.0,1172226,1472902,1172226,5903580
10-June-1998,22-June-1998,143.1,116.0,116.0,143.2,2004052,50,50,2298043
22-June-1998,3-July-1998,120.1,119.2,116.0,129.0,785843,556942,275675,1049432
6-July-1998,17-July-1998,122.0,128.0,121.1,133.9,439976,1097911,439976,1620407
20-July-1998,30-July-1998,127.0,104.6,99.5,129.8,1000,640655,1000,2350586
31-July-1998,12-August-1998,106.0,93.5,93.0,106.5,921962,1037810,1000,1291587
13-August-1998,27-August-1998,93.05,93.45,91.1,99.0,691870,442840,290002,1188335
28-August-1998,9-September-1998,92.0,93.45,86.3,96.25,50,1085461,50,1555615
10-September-1998,23-September-1998,93.0,97.0,90.9,99.25,519090,200,200,1336710
23-September-1998,8-October-1998,96.7,84.7,84.0,99.5,409584,940869,409584,1146702
9-October-1998,26-October-1998,85.0,78.8,68.5,88.1,807642,1077479,262650,1077479
27-October-1998,10-November-1998,80.0,89.6,75.1,90.5,1385121,1203128,838709,3001565
11-November-1998,23-November-1998,89.7,92.0,86.5,98.7,1519733,1472384,3000,3804325
24-November-1998,3-December-1998,92.3,90.5,83.55,94.25,2051258,1952446,10000,3735877
4-December-1998,16-December-1998,92.5,100.85,90.05,104.1,10000,2419664,10000,4606626
17-December-1998,30-December-1998,100.0,121.0,95.3,124.0,2369923,3354209,100,5782318
31-December-1998,13-January-1999,120.0,123.9,116.0,137.7,2476492,1462311,1462311,5000954
14-January-1999,29-January-1999,123.4,115.5,106.1,127.5,2488836,1587697,930372,3754957
1-February-1999,12-February-1999,115.0,117.5,110.0,121.6,1528569,1155255,1155255,3088321
15-February-1999,24-February-1999,120.0,124.1,118.8,130.0,3982131,1275577,100,3982131
25-February-1999,9-March-1999,124.0,114.7,110.0,130.9,2454394,2443002,5300,3427765
10-March-1999,22-March-1999,115.2,110.0,108.3,120.8,1410580,575261,100,2444487
23-March-1999,7-April-1999,110.4,96.0,93.0,111.4,876293,751964,1100,1152819
8-April-1999,21-April-1999,96.0,87.4,85.8,100.0,387268,335162,297646,1055132
22-April-1999,7-May-1999,87.6,99.1,74.5,103.9,347526,1473394,336174,2809761
10-May-1999,21-May-1999,103.0,114.2,98.3,129.4,4132660,2013867,2013867,4735299
24-May-1999,4-June-1999,110.9,118.75,98.65,118.75,1613285,3685818,1077719,3685818
7-June-1999,18-June-1999,122.95,145.95,114.5,146.9,4047733,6841975,2513645,7042542
21-June-1999,2-July-1999,149.0,148.5,135.15,152.9,5826388,3755307,1415549,5826388
5-July-1999,16-July-1999,152.0,159.0,151.3,175.0,4560514,4221887,2252423,5924230
19-July-1999,30-July-1999,161.0,137.1,136.3,162.9,2281815,2061826,768384,3353824
2-August-1999,13-August-1999,138.95,137.85,131.65,148.0,828225,2536571,828225,4832951
16-August-1999,27-August-1999,141.0,168.3,136.0,168.4,2974661,5895352,2781081,5895352
30-August-1999,10-September-1999,171.0,153.8,152.25,175.5,5375209,2220400,1470935,5375209
14-September-1999,27-September-1999,156.95,137.4,136.6,156.95,2644961,1158525,888794,2644961
28-September-1999,11-October-1999,138.0,156.5,135.6,166.0,1323381,2962811,1323381,3968562
12-October-1999,26-October-1999,157.2,170.25,141.8,171.95,2030205,3909031,1506326,5972942
27-October-1999,9-November-1999,170.75,142.5,130.9,171.0,5933219,1082113,422406,5933219
11-November-1999,25-November-1999,143.0,153.25,138.0,156.45,841653,3845821,684254,3845821
26-November-1999,9-December-1999,154.0,144.55,140.5,154.1,1259731,603353,603353,2800231
10-December-1999,23-December-1999,145.8,145.75,138.0,155.0,1114637,2278631,676265,3114609
24-December-1999,7-January-2000,147.0,169.8,139.6,178.45,1144167,4186030,409293,4186030
10-January-2000,21-January-2000,177.3,160.4,155.8,183.35,3149044,2427244,1191289,5551413
24-January-2000,7-February-2000,162.0,139.9,138.3,164.8,1889938,914968,914968,2290832
8-February-2000,18-February-2000,140.0,132.25,131.1,150.15,1712065,992381,50,1986899
21-February-2000,3-March-2000,134.0,106.3,105.0,142.8,1387937,1580734,582820,1989595
6-March-2000,21-March-2000,112.0,108.0,89.0,114.0,1167489,1026623,743457,1987240
22-March-2000,4-April-2000,109.75,111.0,101.85,123.4,673634,3196860,460832,3439425
5-April-2000,19-April-2000,111.9,115.75,104.65,126.5,2093634,876990,517390,2678720
20-April-2000,5-May-2000,115.0,106.95,98.5,118.0,881405,795056,396020,1135599
8-May-2000,19-May-2000,108.0,113.5,98.4,116.0,689096,1153148,213621,2581158
22-May-2000,1-June-2000,112.5,119.05,112.1,125.0,2458796,1914965,183420,4783008
1-June-2000,14-June-2000,122.0,128.15,120.0,142.0,51600,1550731,51600,5697543
15-June-2000,28-June-2000,129.0,121.75,120.0,131.0,553330,321846,321846,2203229
29-June-2000,11-July-2000,121.95,138.75,117.1,140.25,486771,4311959,20000,4311959
11-July-2000,21-July-2000,140.0,124.6,124.5,145.8,10000,3524947,100,3861296
24-July-2000,4-August-2000,122.5,113.25,112.55,122.5,1978614,964822,661584,2615243
7-August-2000,18-August-2000,113.1,106.15,104.0,115.0,1192273,753575,365327,1429765
21-August-2000,4-September-2000,108.0,111.15,106.85,114.6,754179,718287,339983,2030927
5-September-2000,18-September-2000,111.9,101.7,101.5,115.2,917172,562964,288891,1193144
19-September-2000,3-October-2000,101.3,95.9,93.6,103.0,892759,607833,231096,971513
4-October-2000,17-October-2000,95.3,88.3,85.0,100.25,756026,865335,290857,1161976
18-October-2000,31-October-2000,88.5,96.95,87.75,105.2,608658,717054,573104,2231466
1-November-2000,13-November-2000,97.5,103.95,96.5,108.9,1316868,1439138,25000,2628076
14-November-2000,27-November-2000,104.6,120.5,104.05,120.7,2255428,3360054,856437,3360054
28-November-2000,8-December-2000,119.4,130.5,116.65,132.7,3702528,3461819,5050,4791093
11-December-2000,21-December-2000,131.0,124.75,120.1,133.3,2080483,1395034,5000,2879701
22-December-2000,5-January-2001,125.5,132.8,119.55,139.1,1705929,1757731,693740,3624529
8-January-2001,18-January-2001,132.8,127.95,123.15,134.35,1844606,2034571,100000,3444643
19-January-2001,2-February-2001,128.0,142.85,123.5,143.35,1984672,3532663,1288247,4705310
5-February-2001,16-February-2001,141.95,153.35,141.95,165.0,6584382,2768176,2278527,6584382
19-February-2001,28-February-2001,150.0,154.5,148.3,161.9,2211610,4284885,10000,5028005
1-March-2001,14-March-2001,155.5,124.65,108.0,168.9,5740377,1767220,10000,5740377
15-March-2001,28-March-2001,121.0,131.55,120.0,138.7,1553734,318494,318494,1888811
29-March-2001,12-April-2001,130.7,114.55,112.75,132.35,623759,1153502,496458,1239933
16-April-2001,27-April-2001,115.0,133.25,115.0,149.45,1144801,25000,25000,2714449
27-April-2001,8-May-2001,137.5,136.75,127.1,141.8,1679061,701318,25000,1679061
8-May-2001,16-May-2001,137.0,135.85,120.55,139.75,37500,2810241,10000,2810241
17-May-2001,30-May-2001,136.75,143.05,136.5,147.5,2396557,1573013,1000483,3458626
31-May-2001,12-June-2001,142.5,132.05,129.25,144.75,1390249,962866,54000,3831122
13-June-2001,22-June-2001,132.0,117.65,117.1,132.5,505508,940312,25000,1220005
25-June-2001,6-July-2001,117.9,101.6,100.0,121.7,689883,1298166,270535,2078919
9-July-2001,20-July-2001,100.6,92.95,92.2,107.4,1525557,718220,679222,1941141
23-July-2001,3-August-2001,92.05,92.7,89.2,95.9,1707,357163,1707,696879
6-August-2001,20-August-2001,92.5,89.4,88.0,94.8,355600,319149,102344,355600
21-August-2001,4-September-2001,90.0,83.55,78.0,90.0,131663,1340854,123474,1340854
5-September-2001,18-September-2001,84.5,73.95,70.95,86.55,394930,429349,197057,518577
19-September-2001,3-October-2001,75.0,69.8,66.9,75.0,486047,206602,107719,782073
4-October-2001,17-October-2001,70.6,76.4,68.65,77.1,100930,366127,90288,477521
